Date,Close,50-day MA,200-day MA,Golden Cross,,,,,,,,,,,,
11/2/2020,330.2,,,,,,,,,,,,,,,
11/3/2020,336.03,,,,,,,,,,,,,,,
11/4/2020,343.54,,,,,,,,,,,,,,,
11/5/2020,350.24,,,,,,,,,,,,,,,
11/6/2020,350.16,,,,,,,,,,,,,,,
11/9/2020,354.56,,,,,,,,,,,,,,,
11/10/2020,354.04,,,,,,,,,,,,,,,
11/11/2020,356.67,,,,,,,,,,,,,,,
11/12/2020,353.21,,,,,,,,,,,,,,,
11/13/2020,358.1,,,,,,,,,,,,,,,
11/16/2020,362.57,,,,,,,,,,,,,,,
11/17/2020,360.62,,,,,,,,,,,,,,,
11/18/2020,356.28,,,,,,,,,,,,,,,
11/19/2020,357.78,,,,,,,,,,,,,,,
11/20/2020,355.33,,,,,,,,,,,,,,,
11/23/2020,357.46,,,,,,,,,,,,,,,
11/24/2020,363.22,,,,,,,,,,,,,,,
11/25/2020,362.66,,,,,,,,,,,,,,,
11/27/2020,363.67,,,,,,,,,,,,,,,
11/30/2020,362.06,,,,,,,,,,,,,,,
12/1/2020,366.02,,,,,,,,,,,,,,,
12/2/2020,366.79,,,,,,,,,,,,,,,
12/3/2020,366.69,,,,,,,,,,,,,,,
12/4/2020,369.85,,,,,,,,,,,,,,,
12/7/2020,369.09,,,,,,,,,,,,,,,
12/8/2020,370.17,,,,,,,,,,,,,,,
12/9/2020,366.85,,,,,,,,,,,,,,,
12/10/2020,366.73,,,,,,,,,,,,,,,
12/11/2020,366.3,,,,,,,,,,,,,,,
12/14/2020,364.66,,,,,,,,,,,,,,,
12/15/2020,369.59,,,,,,,,,,,,,,,
12/16/2020,370.17,,,,,,,,,,,,,,,
12/17/2020,372.24,,,,,,,,,,,,,,,
12/18/2020,369.18,,,,,,,,,,,,,,,
12/21/2020,367.86,,,,,,,,,,,,,,,
12/22/2020,367.24,,,,,,,,,,,,,,,
12/23/2020,367.57,,,,,,,,,,,,,,,
12/24/2020,369,,,,,,,,,,,,,,,
12/28/2020,372.17,,,,,,,,,,,,,,,
12/29/2020,371.46,,,,,,,,,,,,,,,
12/30/2020,371.99,,,,,,,,,,,,,,,
12/31/2020,373.88,,,,,,,,,,,,,,,
1/4/2021,368.79,,,,,,,,,,,,,,,
1/5/2021,371.33,,,,,,,,,,,,,,,
1/6/2021,373.55,,,,,,,,,,,,,,,
1/7/2021,379.1,,,,,,,,,,,,,,,
1/8/2021,381.26,,,,,,,,,,,,,,,
1/11/2021,378.69,,,,,,,,,,,,,,,
1/12/2021,378.77,,,,,,,,,,,,,,,
1/13/2021,379.79,364.3036,,,,,,,,,,,,,,
1/14/2021,378.46,365.2688,,,,,,,,,,,,,,
1/15/2021,375.7,366.0622,,,,,,,,,,,,,,
1/19/2021,378.65,366.7644,,,,,,,,,,,,,,
1/20/2021,383.89,367.4374,,,,,,,,,,,,,,
1/21/2021,384.24,368.119,,,,,,,,,,,,,,
1/22/2021,382.88,368.6854,,,,,,,,,,,,,,
1/25/2021,384.39,369.2924,,,,,,,,,,,,,,
